Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/trades/ingest/,33711,15837,180,187.76631839447046,24.121894000018074,405.6732830003966,153.19062027231467,259.29727573347105,121.81456960015961,180,200,210,220,240,270,290,310,360,390,410
,Aggregated,33711,15837,180,187.76631839447046,24.121894000018074,405.6732830003966,153.19062027231467,259.29727573347105,121.81456960015961,180,200,210,220,240,270,290,310,360,390,410
